ResponseId,n_subtypes,Subtype,Name,Attributes
R_2yr3CBPoqtwC0my,7,Subtype06,Alone,"Isolated,Organised"
R_2yr3CBPoqtwC0my,7,Subtype07,Social situations,"Indecisive,Inferior,Insecure,Tense"
R_1rOhd2zi1GEV63o,7,Subtype01,me as a brother,"Capable,Happy,Mature"
R_1rOhd2zi1GEV63o,7,Subtype02,me as a partner,"Capable,Comfortable,Communicative,Friendly,Fun and Entertaining,Giving,Happy,Outgoing"
R_1rOhd2zi1GEV63o,7,Subtype03,me as a man,"Capable,Communicative,Confident,Energetic,Immature,Interested,Self-centered"
R_1rOhd2zi1GEV63o,7,Subtype04,me as a son,"Capable,Indecisive,Mature,Optimistic"
R_1rOhd2zi1GEV63o,7,Subtype05,me at work,"Capable,Comfortable,Communicative,Giving,Hardworking,Independent,Interested"
R_1rOhd2zi1GEV63o,7,Subtype06,me with friends,"Capable,Independent,Needed,Optimistic,Organised"
R_1rOhd2zi1GEV63o,7,Subtype07,me as a friend,"Happy,Indecisive,Independent,Mature,Organised,Outgoing"
R_2sXgYUHJeeicHIc,4,Subtype01,me alone,"Comfortable,Confident,Immature,Intelligent,Irresponsible,Self-centered"
R_2sXgYUHJeeicHIc,4,Subtype02,me with family,"Confident,Independent,Intelligent,Isolated,Self-centered"
R_2sXgYUHJeeicHIc,4,Subtype03,me at university,"Comfortable,Communicative,Confident,Friendly,Intelligent,Lovable,Mature"
R_2sXgYUHJeeicHIc,4,Subtype04,me with friends,"Energetic,Friendly,Fun and Entertaining,Happy,Indecisive,Organised"
R_3maGf1Wl42acbvO,2,Subtype01,Me at state of florida college,"Capable,Indecisive"
R_3maGf1Wl42acbvO,2,Subtype02,Me with my friend marcus,"Incompetent,Independent,Irritable"
R_1Ng2MSin090Lw4W,3,Subtype01,me with my friends,"Capable,Comfortable,Communicative,Confident,Energetic,Friendly,Fun and Entertaining,Happy,Immature,Independent,Intelligent,Interested,Optimistic,Outgoing,Successful"
R_1Ng2MSin090Lw4W,3,Subtype02,me with my family,"Capable,Comfortable,Communicative,Confident,Energetic,Friendly,Fun and Entertaining,Giving,Happy,Hardworking,Independent,Intelligent,Lovable,Mature,Needed,Optimistic,Organised,Outgoing,Successful"
R_1Ng2MSin090Lw4W,3,Subtype03,me alone,"Capable,Comfortable,Confident,Energetic,Friendly,Fun and Entertaining,Giving,Hardworking,Independent,Intelligent,Mature,Optimistic,Organised,Outgoing,Self-centered,Successful"
R_1Dwkh4FzX0XDA1R,5,Subtype01,My Friends Type,"Comfortable,Communicative,Confident,Fun and Entertaining,Immature,Outgoing"
R_1Dwkh4FzX0XDA1R,5,Subtype02,My Girlfriend Type,"Disagreeing,Friendly,Insecure,Interested,Irritable,Lovable,Mature,Organised,Weary"
R_1Dwkh4FzX0XDA1R,5,Subtype03,Me At Work,"Capable,Communicative,Fun and Entertaining,Hardworking,Mature,Organised"
R_1Dwkh4FzX0XDA1R,5,Subtype04,Me Creative,"Capable,Confident,Energetic,Giving,Happy,Hardworking,Independent,Insecure"
R_1Dwkh4FzX0XDA1R,5,Subtype05,Me Depressed,"Disagreeing,Hopeless,Indecisive,Inferior,Insecure,Irritable,Isolated,Like a failure,Self-centered,Uncomfortable,Unloved,Weary,Worthless"
R_3MFZUzqwB2omyKm,11,Subtype01,Me at work,"Capable,Comfortable,Confident,Energetic,Friendly,Happy,Independent,Interested,Mature,Needed,Outgoing,Successful"
R_3MFZUzqwB2omyKm,11,Subtype02,Me in the car,"Capable,Comfortable,Confident,Happy,Independent,Interested,Mature,Successful"
R_3MFZUzqwB2omyKm,11,Subtype03,Me in the garden,"Capable,Comfortable,Confident,Happy,Mature"
R_3MFZUzqwB2omyKm,11,Subtype04,Me in the shed,"Happy,Mature"
R_3MFZUzqwB2omyKm,11,Subtype05,Me at the gym,"Comfortable,Communicative,Confident,Energetic,Friendly,Fun and Entertaining,Happy"
R_3MFZUzqwB2omyKm,11,Subtype06,Me at the pub,"Happy,Lovable"
R_3MFZUzqwB2omyKm,11,Subtype07,Me at the park,"Energetic,Happy"
R_3MFZUzqwB2omyKm,11,Subtype08,Me at the cinema,Happy
R_3MFZUzqwB2omyKm,11,Subtype09,Me at the shops,"Happy,Outgoing,Self-centered"
R_3MFZUzqwB2omyKm,11,Subtype10,Me at the swimming pool,Happy
R_3MFZUzqwB2omyKm,11,Subtype11,Me at the party,"Comfortable,Energetic,Friendly"
R_w6jI1LYGLJYB4Qh,3,Subtype01,Me with my family,"Capable,Comfortable,Communicative,Confident,Energetic,Friendly,Fun and Entertaining,Giving,Happy,Immature,Interested,Lovable,Needed,Optimistic,Outgoing"
R_w6jI1LYGLJYB4Qh,3,Subtype02,Me with my friends,"Comfortable,Communicative,Giving,Happy,Interested,Lovable,Mature,Optimistic"
R_w6jI1LYGLJYB4Qh,3,Subtype03,Me at university,"Capable,Hopeless,Inferior,Insecure,Interested,Like a failure,Mature,Uncomfortable"
R_3HMmu1IgTNLOO8Z,3,Subtype01,me at home,"Comfortable,Happy"
R_3HMmu1IgTNLOO8Z,3,Subtype02,me at work,"Capable,Confident,Friendly,Hardworking,Independent,Needed,Organised"
R_3HMmu1IgTNLOO8Z,3,Subtype03,me at a gathering,"Indecisive,Uncomfortable"
R_1jdLy3WH0wKzmwx,3,Subtype01,Me with my friends,"Communicative,Friendly,Happy,Interested,Lovable"
R_1jdLy3WH0wKzmwx,3,Subtype02,Me at workplace,"Comfortable,Energetic,Hardworking,Needed,Organised,Tense"
R_1jdLy3WH0wKzmwx,3,Subtype03,Me at home,"Energetic,Independent,Lazy"
R_11ZbZAZGjMwqRYt,3,Subtype01,me at work,"Capable,Communicative,Confident,Friendly,Fun and Entertaining,Hardworking,Independent,Intelligent,Interested,Organised,Outgoing"
R_11ZbZAZGjMwqRYt,3,Subtype02,me in my relationship,"Capable,Communicative,Friendly,Fun and Entertaining,Insecure,Intelligent,Interested,Irritable"
R_11ZbZAZGjMwqRYt,3,Subtype03,me alone,"Comfortable,Energetic,Independent,Intelligent,Interested,Optimistic,Organised,Self-centered,Successful"
R_3JIAwnoSPxREE73,4,Subtype01,Me as a mother,"Capable,Confident,Friendly,Fun and Entertaining,Giving,Happy,Hopeless,Mature,Needed,Successful"
R_3JIAwnoSPxREE73,4,Subtype02,Me as a wife,"Fun and Entertaining,Giving,Happy,Hopeless,Lovable,Needed,Successful,Tense"
R_3JIAwnoSPxREE73,4,Subtype03,Me as a daughter,"Capable,Giving,Isolated,Successful,Unloved"
R_3JIAwnoSPxREE73,4,Subtype04,Me as a worker,"Capable,Confident,Hardworking,Indecisive,Organised"
R_eFFf01L57zxxKs9,5,Subtype01,me at college,"Capable,Comfortable,Communicative,Confident,Energetic,Friendly,Fun and Entertaining,Giving,Happy,Hardworking,Independent,Intelligent,Interested,Lovable,Mature,Optimistic,Organised,Outgoing,Successful"
R_eFFf01L57zxxKs9,5,Subtype02,me with my freinds,"Capable,Comfortable,Communicative,Confident,Energetic,Friendly,Fun and Entertaining,Happy,Interested,Lovable,Needed,Outgoing"
R_eFFf01L57zxxKs9,5,Subtype03,me with my family,"Comfortable,Communicative,Fun and Entertaining,Giving,Happy,Independent,Intelligent,Interested,Lovable,Mature,Optimistic,Organised,Successful"
R_eFFf01L57zxxKs9,5,Subtype04,me at work,"Capable,Comfortable,Communicative,Energetic,Friendly,Fun and Entertaining,Giving,Happy,Hardworking,Independent,Intelligent,Interested,Lovable,Mature,Needed,Outgoing,Successful"
R_eFFf01L57zxxKs9,5,Subtype05,me swimming,"Communicative,Confident,Energetic,Friendly,Happy,Hardworking,Independent,Inferior,Interested,Mature,Outgoing,Successful"
R_DP1jdBbwMosS4SZ,3,Subtype01,me as a brother,"Comfortable,Confident,Giving,Mature"
R_DP1jdBbwMosS4SZ,3,Subtype02,me at university,"Incompetent,Inferior,Insecure"
R_DP1jdBbwMosS4SZ,3,Subtype03,me at work,"Capable,Fun and Entertaining,Worthless"
R_9o6a89P9No5egDv,3,Subtype01,Me doing work,"Capable,Confident,Energetic,Giving,Hardworking,Independent,Needed"
R_9o6a89P9No5egDv,3,Subtype02,Me looking after my family,"Capable,Comfortable,Communicative,Confident,Disagreeing,Friendly,Fun and Entertaining,Giving,Happy,Interested,Lazy,Lovable,Mature,Needed,Optimistic,Organised"
R_9o6a89P9No5egDv,3,Subtype03,Me,"Capable,Comfortable,Communicative,Confident,Energetic,Friendly,Fun and Entertaining,Giving,Happy,Hardworking,Independent,Intelligent,Interested,Irritable,Lazy,Lovable,Mature,Needed,Optimistic,Organised,Outgoing,Successful"
R_2TmHO0Itgc6OVeM,5,Subtype01,Me as a mum,"Capable,Comfortable,Confident,Energetic,Friendly,Fun and Entertaining,Giving,Happy,Hardworking,Intelligent,Interested,Lovable,Mature,Needed,Organised,Outgoing,Successful"
R_2TmHO0Itgc6OVeM,5,Subtype02,Me at work,"Capable,Comfortable,Communicative,Confident,Energetic,Friendly,Fun and Entertaining,Giving,Happy,Hardworking,Intelligent,Interested,Lovable,Mature,Needed,Optimistic,Organised,Successful"
R_2TmHO0Itgc6OVeM,5,Subtype03,Me with friends,"Comfortable,Communicative,Energetic,Friendly,Fun and Entertaining,Giving,Happy,Inferior,Lovable,Needed,Optimistic"
R_2TmHO0Itgc6OVeM,5,Subtype04,Me with family,"Capable,Comfortable,Confident,Energetic,Friendly,Fun and Entertaining,Giving,Happy,Intelligent,Interested,Lovable,Mature,Needed,Optimistic,Outgoing,Successful"
R_2TmHO0Itgc6OVeM,5,Subtype05,Me with my husband,"Capable,Comfortable,Confident,Disagreeing,Energetic,Friendly,Fun and Entertaining,Giving,Happy,Interested,Lovable,Needed,Optimistic,Organised,Outgoing,Successful"
R_1ilHjFQGcamPLwH,5,Subtype01,me at home/with family,"Capable,Hardworking,Interested,Mature,Organised"
R_1ilHjFQGcamPLwH,5,Subtype02,me with my friends,"Comfortable,Communicative,Confident,Energetic,Friendly,Fun and Entertaining,Giving,Happy,Interested,Lovable,Optimistic,Outgoing"
R_1ilHjFQGcamPLwH,5,Subtype03,me as a sister,"Capable,Communicative,Confident,Friendly,Giving,Hardworking,Intelligent,Interested,Mature,Organised,Successful"
R_1ilHjFQGcamPLwH,5,Subtype04,me as an employee,"Capable,Giving,Hardworking,Independent,Interested,Mature,Organised,Successful"
R_1ilHjFQGcamPLwH,5,Subtype05,me as a fan,"Comfortable,Communicative,Energetic,Friendly,Fun and Entertaining,Giving,Happy,Independent,Intelligent,Interested,Lovable,Optimistic,Organised,Outgoing"
R_2f8W7VN1ZuLfnpb,7,Subtype01,Me with family,"Capable,Confident,Friendly,Fun and Entertaining,Happy,Mature,Optimistic,Organised"
R_2f8W7VN1ZuLfnpb,7,Subtype02,Me with friends,"Capable,Comfortable,Confident,Happy,Outgoing"
R_2f8W7VN1ZuLfnpb,7,Subtype03,Me as a dad,"Capable,Energetic,Friendly,Happy,Mature,Outgoing"
R_2f8W7VN1ZuLfnpb,7,Subtype04,Me as a colleague,"Capable,Friendly,Intelligent,Interested,Mature"
R_2f8W7VN1ZuLfnpb,7,Subtype05,Me as a golfer,"Capable,Energetic,Friendly,Happy"
R_2f8W7VN1ZuLfnpb,7,Subtype06,Me as a homeowner,"Capable,Hardworking,Independent,Mature"
R_2f8W7VN1ZuLfnpb,7,Subtype07,Me with a pet,Mature
R_1osZa4brIGk6nPw,5,Subtype01,Me work on computer,"Confident,Giving,Happy,Intelligent,Mature,Organised,Tense,Uncomfortable"
R_1osZa4brIGk6nPw,5,Subtype02,Me spent time with Family,"Capable,Communicative,Energetic,Fun and Entertaining,Insecure,Interested,Isolated,Optimistic,Sad and Blue"
R_1osZa4brIGk6nPw,5,Subtype03,me as a brother,"Comfortable,Confident,Incompetent,Insecure,Needed,Organised"
R_1osZa4brIGk6nPw,5,Subtype04,me do a sport,"Capable,Communicative,Disorganised,Giving,Irresponsible,Like a failure,Needed,Organised,Sad and Blue"
R_1osZa4brIGk6nPw,5,Subtype05,me eat more food,"Comfortable,Confident,Energetic,Needed,Organised"
R_0dM0LIJwRpcnpol,5,Subtype01,Me at home,"Comfortable,Giving,Happy,Indecisive,Independent,Organised"
R_0dM0LIJwRpcnpol,5,Subtype02,Me at work,"Capable,Communicative,Energetic,Happy,Hardworking,Interested,Mature,Needed"
R_0dM0LIJwRpcnpol,5,Subtype03,Me as a carer,"Capable,Irritable,Isolated,Mature,Needed,Organised,Weary"
R_0dM0LIJwRpcnpol,5,Subtype04,Me as a finace,"Friendly,Giving,Happy,Insecure,Lovable"
R_0dM0LIJwRpcnpol,5,Subtype05,Me as a daughter,"Comfortable,Friendly,Giving,Happy,Lovable"
R_5vC9iZZxKZNqMW5,3,Subtype01,Me at shop,"Comfortable,Interested,Needed"
R_5vC9iZZxKZNqMW5,3,Subtype02,Me at home,"Needed,Organised,Successful"
R_5vC9iZZxKZNqMW5,3,Subtype03,Me at work,"Needed,Organised"
R_2QstcxMjonC4jFS,5,Subtype01,me at home,"Capable,Comfortable,Energetic,Independent,Lazy,Mature,Optimistic,Organised"
R_2QstcxMjonC4jFS,5,Subtype02,me at university,"Capable,Comfortable,Communicative,Confident,Energetic,Friendly,Giving,Happy,Hardworking,Independent,Interested,Lovable,Mature,Optimistic,Organised,Successful,Tense"
R_2QstcxMjonC4jFS,5,Subtype03,me with my family,"Friendly,Lovable"
R_2QstcxMjonC4jFS,5,Subtype04,me with my friends,"Capable,Comfortable,Communicative,Confident,Energetic,Friendly,Fun and Entertaining,Happy,Mature,Optimistic,Outgoing"
R_2QstcxMjonC4jFS,5,Subtype05,me with my high-school friends,"Fun and Entertaining,Irritable,Tense,Uncomfortable"
